date,temp,ice,sea,co2
1880-01-01,-0.16,NA,NA,NA
1881-01-01,-0.08,NA,NA,NA
1882-01-01,-0.1,NA,NA,NA
1883-01-01,-0.17,NA,NA,NA
1884-01-01,-0.28,NA,NA,NA
1885-01-01,-0.33,NA,NA,NA
1886-01-01,-0.31,NA,NA,NA
1887-01-01,-0.36,NA,NA,NA
1888-01-01,-0.17,NA,NA,NA
1889-01-01,-0.11,NA,NA,NA
1890-01-01,-0.35,NA,NA,NA
1891-01-01,-0.22,NA,NA,NA
1892-01-01,-0.27,NA,NA,NA
1893-01-01,-0.31,NA,NA,NA
1894-01-01,-0.3,NA,NA,NA
1895-01-01,-0.23,NA,NA,NA
1896-01-01,-0.11,NA,NA,NA
1897-01-01,-0.11,NA,NA,NA
1898-01-01,-0.27,NA,NA,NA
1899-01-01,-0.18,NA,NA,NA
1900-01-01,-0.08,NA,NA,NA
1901-01-01,-0.16,NA,NA,NA
1902-01-01,-0.28,NA,NA,NA
1903-01-01,-0.37,NA,NA,NA
1904-01-01,-0.47,NA,NA,NA
1905-01-01,-0.27,NA,NA,NA
1906-01-01,-0.23,NA,NA,NA
1907-01-01,-0.39,NA,NA,NA
1908-01-01,-0.43,NA,NA,NA
1909-01-01,-0.48,NA,NA,NA
1910-01-01,-0.43,NA,NA,NA
1911-01-01,-0.44,NA,NA,NA
1912-01-01,-0.36,NA,NA,NA
1913-01-01,-0.34,NA,NA,NA
1914-01-01,-0.15,NA,NA,NA
1915-01-01,-0.14,NA,NA,NA
1916-01-01,-0.36,NA,NA,NA
1917-01-01,-0.46,NA,NA,NA
1918-01-01,-0.3,NA,NA,NA
1919-01-01,-0.28,NA,NA,NA
1920-01-01,-0.28,NA,NA,NA
1921-01-01,-0.19,NA,NA,NA
1922-01-01,-0.29,NA,NA,NA
1923-01-01,-0.27,NA,NA,NA
1924-01-01,-0.27,NA,NA,NA
1925-01-01,-0.22,NA,NA,NA
1926-01-01,-0.11,NA,NA,NA
1927-01-01,-0.22,NA,NA,NA
1928-01-01,-0.2,NA,NA,NA
1929-01-01,-0.36,NA,NA,NA
1930-01-01,-0.16,NA,NA,NA
1931-01-01,-0.09,NA,NA,NA
1932-01-01,-0.16,NA,NA,NA
1933-01-01,-0.28,NA,NA,NA
1934-01-01,-0.12,NA,NA,NA
1935-01-01,-0.2,NA,NA,NA
1936-01-01,-0.15,NA,NA,NA
1937-01-01,-0.03,NA,NA,NA
1938-01-01,0,NA,NA,NA
1939-01-01,-0.01,NA,NA,NA
1940-01-01,0.13,NA,NA,NA
1941-01-01,0.19,NA,NA,NA
1942-01-01,0.07,NA,NA,NA
1943-01-01,0.09,NA,NA,NA
1944-01-01,0.2,NA,NA,NA
1945-01-01,0.09,NA,NA,NA
1946-01-01,-0.07,NA,NA,NA
1947-01-01,-0.03,NA,NA,NA
1948-01-01,-0.11,NA,NA,NA
1949-01-01,-0.11,NA,NA,NA
1950-01-01,-0.17,NA,NA,NA
1951-01-01,-0.07,NA,NA,NA
1952-01-01,0.01,NA,NA,NA
1953-01-01,0.08,NA,NA,NA
1954-01-01,-0.13,NA,NA,NA
1955-01-01,-0.14,NA,NA,NA
1956-01-01,-0.19,NA,NA,NA
1957-01-01,0.05,NA,NA,NA
1958-01-01,0.06,NA,NA,NA
1959-01-01,0.03,NA,NA,315.58
1960-01-01,-0.03,NA,NA,316.43
1961-01-01,0.06,NA,NA,316.89
1962-01-01,0.03,NA,NA,317.94
1963-01-01,0.05,NA,NA,318.74
1964-01-01,-0.2,NA,NA,319.57
1965-01-01,-0.11,NA,NA,319.44
1966-01-01,-0.06,NA,NA,320.62
1967-01-01,-0.02,NA,NA,322.33
1968-01-01,-0.08,NA,NA,322.57
1969-01-01,0.05,NA,NA,324
1970-01-01,0.03,NA,NA,325.06
1971-01-01,-0.08,NA,NA,326.17
1972-01-01,0.01,NA,NA,326.77
1973-01-01,0.16,NA,NA,328.55
1974-01-01,-0.07,NA,NA,329.35
1975-01-01,-0.01,NA,NA,330.73
1976-01-01,-0.1,NA,NA,331.56
1977-01-01,0.18,NA,NA,332.68
1978-01-01,0.07,NA,NA,334.94
1979-01-01,0.16,7.05,NA,336.14
1980-01-01,0.26,7.67,NA,337.9
1981-01-01,0.32,7.14,NA,339.29
1982-01-01,0.14,7.3,NA,340.93
1983-01-01,0.31,7.39,NA,341.57
1984-01-01,0.16,6.81,NA,344.21
1985-01-01,0.12,6.7,NA,345.48
1986-01-01,0.18,7.41,NA,346.78
1987-01-01,0.32,7.28,NA,348.73
1988-01-01,0.39,7.37,NA,350.51
1989-01-01,0.27,7.01,NA,353.07
1990-01-01,0.45,6.14,NA,353.86
1991-01-01,0.4,6.47,NA,354.93
1992-01-01,0.22,7.47,NA,356.34
1993-01-01,0.23,6.4,NA,357.1
1994-01-01,0.32,7.14,NA,358.36
1995-01-01,0.45,6.08,NA,360.04
1996-01-01,0.33,7.58,NA,362.2
1997-01-01,0.46,6.69,-26.31,363.24
1998-01-01,0.61,6.54,NA,365.39
1999-01-01,0.38,6.12,NA,368.35
2000-01-01,0.39,6.25,NA,369.45
2001-01-01,0.54,6.73,NA,370.76
2002-01-01,0.63,5.83,NA,372.7
2003-01-01,0.62,6.12,NA,375.07
2004-01-01,0.53,5.98,NA,377.17
2005-01-01,0.68,5.5,NA,378.63
2006-01-01,0.64,5.86,NA,381.58
2007-01-01,0.66,4.27,NA,383.1
2008-01-01,0.54,4.69,NA,385.78
2009-01-01,0.66,5.26,8.7,387.17
2010-01-01,0.72,4.87,NA,388.91
2011-01-01,0.61,4.56,NA,391.5
2012-01-01,0.65,3.57,NA,393.31
2013-01-01,0.68,5.21,NA,395.78
2014-01-01,0.74,5.22,NA,398.04
2015-01-01,0.89,4.62,33.32,400.18
2016-01-01,1.01,4.53,NA,402.73
2017-01-01,0.92,4.82,NA,406.36
2018-01-01,0.85,4.79,NA,408.15
2019-01-01,0.98,4.36,NA,411.03
2020-01-01,1.02,3.92,NA,413.61
1993-01-05,NA,NA,-38.57,NA
1993-01-15,NA,NA,-39.11,NA
1993-01-25,NA,NA,-38.58,NA
1993-02-03,NA,NA,-38.34,NA
1993-02-13,NA,NA,-37.21,NA
1993-02-23,NA,NA,-35.98,NA
1993-03-05,NA,NA,-34.94,NA
1993-03-15,NA,NA,-34.19,NA
1993-03-25,NA,NA,-33.72,NA
1993-04-04,NA,NA,-33.48,NA
1993-04-14,NA,NA,-33.38,NA
1993-04-24,NA,NA,-33.41,NA
1993-05-04,NA,NA,-33.54,NA
1993-05-14,NA,NA,-33.48,NA
1993-05-24,NA,NA,-33.59,NA
1993-06-02,NA,NA,-33.19,NA
1993-06-12,NA,NA,-33.02,NA
1993-06-22,NA,NA,-32.87,NA
1993-07-02,NA,NA,-33.01,NA
1993-07-12,NA,NA,-33.37,NA
1993-07-22,NA,NA,-33.72,NA
1993-08-01,NA,NA,-33.92,355.76
1993-08-11,NA,NA,-34.04,NA
1993-08-21,NA,NA,-34.22,NA
1993-08-31,NA,NA,-34.39,NA
1993-09-10,NA,NA,-34.59,NA
1993-09-20,NA,NA,-34.76,NA
1993-09-29,NA,NA,-34.59,NA
1993-10-09,NA,NA,-34.49,NA
1993-10-19,NA,NA,-34.58,NA
1993-10-29,NA,NA,-34.91,NA
1993-11-08,NA,NA,-35.16,NA
1993-11-18,NA,NA,-34.96,NA
1993-11-28,NA,NA,-34.25,NA
1993-12-08,NA,NA,-33.24,NA
1993-12-18,NA,NA,-32.24,NA
1993-12-28,NA,NA,-31.77,NA
1994-01-07,NA,NA,-31.2,NA
1994-01-17,NA,NA,-30.96,NA
1994-01-26,NA,NA,-31.26,NA
1994-02-05,NA,NA,-31.78,NA
1994-02-15,NA,NA,-32.16,NA
1994-02-25,NA,NA,-32.05,NA
1994-03-07,NA,NA,-31.27,NA
1994-03-17,NA,NA,-30.16,NA
1994-03-27,NA,NA,-29.29,NA
1994-04-06,NA,NA,-29.02,NA
1994-04-16,NA,NA,-29.42,NA
1994-04-26,NA,NA,-29.66,NA
1994-05-06,NA,NA,-30.16,NA
1994-05-15,NA,NA,-30.39,NA
1994-05-25,NA,NA,-30.83,NA
1994-06-04,NA,NA,-30.94,NA
1994-06-14,NA,NA,-31.04,NA
1994-06-24,NA,NA,-31.16,NA
1994-07-04,NA,NA,-31.24,NA
1994-07-14,NA,NA,-31.26,NA
1994-07-24,NA,NA,-31.29,NA
1994-08-03,NA,NA,-31.33,NA
1994-08-13,NA,NA,-31.33,NA
1994-08-23,NA,NA,-31.31,NA
1994-09-02,NA,NA,-31.25,NA
1994-09-11,NA,NA,-31.01,NA
1994-09-21,NA,NA,-30.93,NA
1994-10-01,NA,NA,-30.8,356.21
1994-10-11,NA,NA,-30.58,NA
1994-10-21,NA,NA,-30.38,NA
1994-10-31,NA,NA,-30.39,NA
1994-11-10,NA,NA,-30.6,NA
1994-11-20,NA,NA,-30.58,NA
1994-11-30,NA,NA,-29.95,NA
1994-12-10,NA,NA,-28.75,NA
1994-12-20,NA,NA,-27.39,NA
1994-12-30,NA,NA,-26.56,NA
1995-01-08,NA,NA,-26.03,NA
1995-01-18,NA,NA,-25.78,NA
1995-01-28,NA,NA,-26.29,NA
1995-02-07,NA,NA,-26.89,NA
1995-02-17,NA,NA,-27.23,NA
1995-02-27,NA,NA,-26.91,NA
1995-03-09,NA,NA,-26.64,NA
1995-03-19,NA,NA,-26.36,NA
1995-03-29,NA,NA,-26.44,NA
1995-04-08,NA,NA,-26.68,NA
1995-04-18,NA,NA,-26.89,NA
1995-04-28,NA,NA,-26.9,NA
1995-05-07,NA,NA,-26.94,NA
1995-05-17,NA,NA,-27,NA
1995-05-27,NA,NA,-26.97,NA
1995-06-06,NA,NA,-27.1,NA
1995-06-16,NA,NA,-27.48,NA
1995-06-26,NA,NA,-28.07,NA
1995-07-06,NA,NA,-28.39,NA
1995-07-16,NA,NA,-29.02,NA
1995-07-26,NA,NA,-29.2,NA
1995-08-05,NA,NA,-29.21,NA
1995-08-15,NA,NA,-28.81,NA
1995-08-25,NA,NA,-28.49,NA
1995-09-03,NA,NA,-28.05,NA
1995-09-13,NA,NA,-27.3,NA
1995-09-23,NA,NA,-27.47,NA
1995-10-03,NA,NA,-27.17,NA
1995-10-13,NA,NA,-27.57,NA
1995-10-23,NA,NA,-27.98,NA
1995-11-02,NA,NA,-28.09,NA
1995-11-12,NA,NA,-27.83,NA
1995-11-22,NA,NA,-27.35,NA
1995-12-02,NA,NA,-26.87,NA
1995-12-12,NA,NA,-26.84,NA
1995-12-22,NA,NA,-26.9,NA
1995-12-31,NA,NA,-27.11,NA
1996-01-10,NA,NA,-27.72,NA
1996-01-20,NA,NA,-28.19,NA
1996-01-30,NA,NA,-27.92,NA
1996-02-09,NA,NA,-27.83,NA
1996-02-19,NA,NA,-27.27,NA
1996-02-29,NA,NA,-26.89,NA
1996-03-10,NA,NA,-26.8,NA
1996-03-20,NA,NA,-26.88,NA
1996-03-30,NA,NA,-26.97,NA
1996-04-09,NA,NA,-26.8,NA
1996-04-19,NA,NA,-26.52,NA
1996-04-28,NA,NA,-26.18,NA
1996-05-08,NA,NA,-25.61,NA
1996-05-18,NA,NA,-25.08,NA
1996-05-28,NA,NA,-24.62,NA
1996-06-07,NA,NA,-24.22,NA
1996-06-17,NA,NA,-23.83,NA
1996-06-27,NA,NA,-23.5,NA
1996-07-07,NA,NA,-23.32,NA
1996-07-17,NA,NA,-23.35,NA
1996-07-27,NA,NA,-23.66,NA
1996-08-06,NA,NA,-24.34,NA
1996-08-15,NA,NA,-25.01,NA
1996-08-25,NA,NA,-25.72,NA
1996-09-04,NA,NA,-26.08,NA
1996-09-14,NA,NA,-25.98,NA
1996-09-24,NA,NA,-25.41,NA
1996-10-04,NA,NA,-24.46,NA
1996-10-14,NA,NA,-23.37,NA
1996-10-24,NA,NA,-22.61,NA
1996-11-03,NA,NA,-22.47,NA
1996-11-13,NA,NA,-22.86,NA
1996-11-23,NA,NA,-23.56,NA
1996-12-03,NA,NA,-24.4,NA
1996-12-12,NA,NA,-25.06,NA
1996-12-22,NA,NA,-25.85,NA
1997-01-11,NA,NA,-26.51,NA
1997-01-21,NA,NA,-26.51,NA
1997-01-31,NA,NA,-26.45,NA
1997-02-10,NA,NA,-26.35,NA
1997-02-20,NA,NA,-26.19,NA
1997-03-02,NA,NA,-25.81,NA
1997-03-12,NA,NA,-25.24,NA
1997-03-22,NA,NA,-24.56,NA
1997-04-01,NA,NA,-24.08,366.49
1997-04-10,NA,NA,-23.64,NA
1997-04-20,NA,NA,-23.28,NA
1997-04-30,NA,NA,-23.03,NA
1997-05-10,NA,NA,-22.73,NA
1997-05-20,NA,NA,-22.39,NA
1997-05-30,NA,NA,-21.91,NA
1997-06-09,NA,NA,-21.66,NA
1997-06-19,NA,NA,-21.19,NA
1997-06-29,NA,NA,-20.7,NA
1997-07-09,NA,NA,-20.24,NA
1997-07-19,NA,NA,-19.8,NA
1997-07-29,NA,NA,-19.25,NA
1997-08-07,NA,NA,-18.74,NA
1997-08-17,NA,NA,-18.18,NA
1997-08-27,NA,NA,-17.75,NA
1997-09-06,NA,NA,-17.4,NA
1997-09-16,NA,NA,-17.05,NA
1997-09-26,NA,NA,-16.75,NA
1997-10-06,NA,NA,-16.94,NA
1997-10-16,NA,NA,-16.73,NA
1997-10-26,NA,NA,-16.97,NA
1997-11-05,NA,NA,-17.28,NA
1997-11-15,NA,NA,-17.9,NA
1997-11-25,NA,NA,-18.25,NA
1997-12-04,NA,NA,-18.92,NA
1997-12-14,NA,NA,-19.64,NA
1997-12-24,NA,NA,-20.13,NA
1998-01-03,NA,NA,-20.31,NA
1998-01-13,NA,NA,-20.23,NA
1998-01-23,NA,NA,-20.1,NA
1998-02-02,NA,NA,-20.05,NA
1998-02-12,NA,NA,-20.09,NA
1998-02-22,NA,NA,-20.07,NA
1998-03-04,NA,NA,-19.94,NA
1998-03-14,NA,NA,-19.63,NA
1998-03-24,NA,NA,-19.38,NA
1998-04-02,NA,NA,-19.02,NA
1998-04-12,NA,NA,-18.97,NA
1998-04-22,NA,NA,-19.22,NA
1998-05-02,NA,NA,-19.85,NA
1998-05-12,NA,NA,-20.82,NA
1998-05-22,NA,NA,-21.79,NA
1998-06-01,NA,NA,-23.01,369.13
1998-06-11,NA,NA,-23.66,NA
1998-06-21,NA,NA,-24.1,NA
1998-07-01,NA,NA,-24.54,367.98
1998-07-11,NA,NA,-25.12,NA
1998-07-20,NA,NA,-25.69,NA
1998-07-30,NA,NA,-26.4,NA
1998-08-09,NA,NA,-26.67,NA
1998-08-19,NA,NA,-27.05,NA
1998-08-29,NA,NA,-27.2,NA
1998-09-08,NA,NA,-27.29,NA
1998-09-18,NA,NA,-27.33,NA
1998-09-28,NA,NA,-27.43,NA
1998-10-08,NA,NA,-27.16,NA
1998-10-18,NA,NA,-27.01,NA
1998-10-28,NA,NA,-26.93,NA
1998-11-07,NA,NA,-26.91,NA
1998-11-16,NA,NA,-26.86,NA
1998-11-26,NA,NA,-26.65,NA
1998-12-06,NA,NA,-26.37,NA
1998-12-16,NA,NA,-25.96,NA
1998-12-26,NA,NA,-25.68,NA
1999-01-05,NA,NA,-25.29,NA
1999-01-15,NA,NA,-24.73,NA
1999-01-25,NA,NA,-23.85,NA
1999-02-04,NA,NA,-22.64,NA
1999-02-14,NA,NA,-21.49,NA
1999-02-24,NA,NA,-20.44,NA
1999-03-06,NA,NA,-19.87,NA
1999-03-15,NA,NA,-19.61,NA
1999-03-25,NA,NA,-19.66,NA
1999-04-04,NA,NA,-19.64,NA
1999-04-14,NA,NA,-19.8,NA
1999-04-24,NA,NA,-20.02,NA
1999-05-04,NA,NA,-20.18,NA
1999-05-14,NA,NA,-20.26,NA
1999-05-24,NA,NA,-20.33,NA
1999-06-03,NA,NA,-20.46,NA
1999-06-13,NA,NA,-20.6,NA
1999-06-23,NA,NA,-20.5,NA
1999-07-03,NA,NA,-20.68,NA
1999-07-12,NA,NA,-20.72,NA
1999-07-22,NA,NA,-20.89,NA
1999-08-01,NA,NA,-21.11,367.06
1999-08-11,NA,NA,-21.19,NA
1999-08-21,NA,NA,-20.87,NA
1999-08-31,NA,NA,-20.13,NA
1999-09-10,NA,NA,-19.29,NA
1999-09-20,NA,NA,-18.64,NA
1999-09-30,NA,NA,-18.55,NA
1999-10-10,NA,NA,-18.11,NA
1999-10-20,NA,NA,-18.11,NA
1999-10-30,NA,NA,-18.21,NA
1999-11-08,NA,NA,-18.12,NA
1999-11-18,NA,NA,-17.96,NA
1999-11-28,NA,NA,-17.7,NA
1999-12-08,NA,NA,-17.38,NA
1999-12-18,NA,NA,-17.1,NA
1999-12-28,NA,NA,-16.88,NA
2000-01-07,NA,NA,-16.79,NA
2000-01-17,NA,NA,-16.88,NA
2000-01-27,NA,NA,-17.05,NA
2000-02-06,NA,NA,-17.2,NA
2000-02-16,NA,NA,-17.4,NA
2000-02-26,NA,NA,-17.25,NA
2000-03-06,NA,NA,-16.99,NA
2000-03-16,NA,NA,-16.78,NA
2000-03-26,NA,NA,-16.82,NA
2000-04-05,NA,NA,-17.15,NA
2000-04-15,NA,NA,-17.56,NA
2000-04-25,NA,NA,-17.81,NA
2000-05-05,NA,NA,-17.82,NA
2000-05-15,NA,NA,-17.72,NA
2000-05-25,NA,NA,-17.76,NA
2000-06-04,NA,NA,-17.83,NA
2000-06-14,NA,NA,-18.12,NA
2000-06-24,NA,NA,-18.39,NA
2000-07-03,NA,NA,-18.64,NA
2000-07-13,NA,NA,-18.79,NA
2000-07-23,NA,NA,-18.76,NA
2000-08-02,NA,NA,-18.52,NA
2000-08-12,NA,NA,-18.19,NA
2000-08-22,NA,NA,-17.65,NA
2000-09-01,NA,NA,-17.23,367.15
2000-09-11,NA,NA,-16.44,NA
2000-09-21,NA,NA,-15.71,NA
2000-10-01,NA,NA,-14.56,367.18
2000-10-11,NA,NA,-13.89,NA
2000-10-20,NA,NA,-13.65,NA
2000-10-30,NA,NA,-13.91,NA
2000-11-09,NA,NA,-14.64,NA
2000-11-19,NA,NA,-15.08,NA
2000-11-29,NA,NA,-15.51,NA
2000-12-09,NA,NA,-15.68,NA
2000-12-19,NA,NA,-15.54,NA
2000-12-29,NA,NA,-15.04,NA
2001-01-08,NA,NA,-14.73,NA
2001-01-18,NA,NA,-14.31,NA
2001-01-28,NA,NA,-13.92,NA
2001-02-07,NA,NA,-13.5,NA
2001-02-16,NA,NA,-13.02,NA
2001-02-26,NA,NA,-12.55,NA
2001-03-08,NA,NA,-12.19,NA
2001-03-18,NA,NA,-11.98,NA
2001-03-28,NA,NA,-11.68,NA
2001-04-07,NA,NA,-11.45,NA
2001-04-17,NA,NA,-11.34,NA
2001-04-27,NA,NA,-11.48,NA
2001-05-07,NA,NA,-11.8,NA
2001-05-17,NA,NA,-12.13,NA
2001-05-27,NA,NA,-12.22,NA
2001-06-06,NA,NA,-11.96,NA
2001-06-15,NA,NA,-11.39,NA
2001-06-25,NA,NA,-10.7,NA
2001-07-05,NA,NA,-10.18,NA
2001-07-15,NA,NA,-10.04,NA
2001-07-25,NA,NA,-10.2,NA
2001-08-04,NA,NA,-10.42,NA
2001-08-14,NA,NA,-10.45,NA
2001-08-24,NA,NA,-10.18,NA
2001-09-03,NA,NA,-9.66,NA
2001-09-13,NA,NA,-9.11,NA
2001-09-23,NA,NA,-8.83,NA
2001-10-03,NA,NA,-8.94,NA
2001-10-12,NA,NA,-9.33,NA
2001-10-22,NA,NA,-9.74,NA
2001-11-01,NA,NA,-10.05,369.94
2001-11-11,NA,NA,-10.31,NA
2001-11-21,NA,NA,-10.65,NA
2001-12-01,NA,NA,-10.99,371.42
2001-12-11,NA,NA,-11.16,NA
2001-12-21,NA,NA,-11.09,NA
2001-12-31,NA,NA,-10.82,NA
2002-01-10,NA,NA,-10.4,NA
2002-01-20,NA,NA,-9.93,NA
2002-01-30,NA,NA,-9.5,NA
2002-02-08,NA,NA,-9.25,NA
2002-02-18,NA,NA,-9.25,NA
2002-02-28,NA,NA,-9.41,NA
2002-03-10,NA,NA,-9.58,NA
2002-03-20,NA,NA,-9.58,NA
2002-03-30,NA,NA,-9.41,NA
2002-04-09,NA,NA,-9.19,NA
2002-04-19,NA,NA,-9.03,NA
2002-04-29,NA,NA,-8.96,NA
2002-05-09,NA,NA,-8.95,NA
2002-05-19,NA,NA,-8.95,NA
2002-05-29,NA,NA,-8.92,NA
2002-06-07,NA,NA,-8.75,NA
2002-06-17,NA,NA,-8.35,NA
2002-06-27,NA,NA,-7.7,NA
2002-07-07,NA,NA,-6.93,NA
2002-07-17,NA,NA,-6.15,NA
2002-07-27,NA,NA,-5.48,NA
2002-08-06,NA,NA,-5.05,NA
2002-08-16,NA,NA,-4.96,NA
2002-08-26,NA,NA,-5.14,NA
2002-09-05,NA,NA,-5.38,NA
2002-09-15,NA,NA,-5.48,NA
2002-09-25,NA,NA,-5.28,NA
2002-10-04,NA,NA,-4.8,NA
2002-10-14,NA,NA,-4.19,NA
2002-10-24,NA,NA,-3.7,NA
2002-11-03,NA,NA,-3.55,NA
2002-11-13,NA,NA,-3.76,NA
2002-11-23,NA,NA,-4.22,NA
2002-12-03,NA,NA,-4.75,NA
2002-12-13,NA,NA,-5.18,NA
2002-12-23,NA,NA,-5.35,NA
2003-01-02,NA,NA,-5.15,NA
2003-01-12,NA,NA,-4.55,NA
2003-01-21,NA,NA,-3.76,NA
2003-01-31,NA,NA,-3.17,NA
2003-02-10,NA,NA,-3.02,NA
2003-02-20,NA,NA,-3.21,NA
2003-03-02,NA,NA,-3.46,NA
2003-03-12,NA,NA,-3.49,NA
2003-03-22,NA,NA,-3.34,NA
2003-04-01,NA,NA,-3.18,377.92
2003-04-11,NA,NA,-3.15,NA
2003-04-21,NA,NA,-3.29,NA
2003-05-01,NA,NA,-3.52,378.78
2003-05-11,NA,NA,-3.78,NA
2003-05-20,NA,NA,-4.04,NA
2003-05-30,NA,NA,-4.29,NA
2003-06-09,NA,NA,-4.48,NA
2003-06-19,NA,NA,-4.56,NA
2003-06-29,NA,NA,-4.53,NA
2003-07-09,NA,NA,-4.43,NA
2003-07-19,NA,NA,-4.37,NA
2003-07-29,NA,NA,-4.36,NA
2003-08-08,NA,NA,-4.33,NA
2003-08-18,NA,NA,-4.15,NA
2003-08-28,NA,NA,-3.85,NA
2003-09-07,NA,NA,-3.54,NA
2003-09-16,NA,NA,-3.31,NA
2003-09-26,NA,NA,-3.16,NA
2003-10-06,NA,NA,-3.05,NA
2003-10-16,NA,NA,-3.05,NA
2003-10-26,NA,NA,-3.27,NA
2003-11-05,NA,NA,-3.66,NA
2003-11-15,NA,NA,-3.98,NA
2003-11-25,NA,NA,-3.96,NA
2003-12-05,NA,NA,-3.56,NA
2003-12-15,NA,NA,-2.93,NA
2003-12-25,NA,NA,-2.24,NA
2004-01-04,NA,NA,-1.63,NA
2004-01-13,NA,NA,-1.27,NA
2004-01-23,NA,NA,-1.31,NA
2004-02-02,NA,NA,-1.72,NA
2004-02-12,NA,NA,-2.21,NA
2004-02-22,NA,NA,-2.47,NA
2004-03-03,NA,NA,-2.43,NA
2004-03-13,NA,NA,-2.22,NA
2004-03-23,NA,NA,-2.01,NA
2004-04-02,NA,NA,-1.91,NA
2004-04-12,NA,NA,-2.11,NA
2004-04-22,NA,NA,-2.66,NA
2004-05-02,NA,NA,-3.52,NA
2004-05-11,NA,NA,-4.41,NA
2004-05-21,NA,NA,-4.93,NA
2004-05-31,NA,NA,-4.86,NA
2004-06-10,NA,NA,-4.19,NA
2004-06-20,NA,NA,-3.17,NA
2004-06-30,NA,NA,-2.22,NA
2004-07-10,NA,NA,-1.65,NA
2004-07-20,NA,NA,-1.48,NA
2004-07-30,NA,NA,-1.49,NA
2004-08-09,NA,NA,-1.43,NA
2004-08-19,NA,NA,-1.22,NA
2004-08-29,NA,NA,-0.93,NA
2004-09-07,NA,NA,-0.68,NA
2004-09-17,NA,NA,-0.57,NA
2004-09-27,NA,NA,-0.59,NA
2004-10-07,NA,NA,-0.72,NA
2004-10-17,NA,NA,-0.87,NA
2004-10-27,NA,NA,-0.98,NA
2004-11-06,NA,NA,-0.97,NA
2004-11-16,NA,NA,-0.78,NA
2004-11-26,NA,NA,-0.37,NA
2004-12-06,NA,NA,0.15,NA
2004-12-16,NA,NA,0.55,NA
2004-12-26,NA,NA,0.71,NA
2005-01-04,NA,NA,0.72,NA
2005-01-14,NA,NA,0.84,NA
2005-01-24,NA,NA,1.26,NA
2005-02-03,NA,NA,1.9,NA
2005-02-13,NA,NA,2.55,NA
2005-02-23,NA,NA,3.04,NA
2005-03-05,NA,NA,3.26,NA
2005-03-15,NA,NA,3.21,NA
2005-03-25,NA,NA,3.02,NA
2005-04-04,NA,NA,2.83,NA
2005-04-14,NA,NA,2.75,NA
2005-04-23,NA,NA,2.76,NA
2005-05-03,NA,NA,2.88,NA
2005-05-13,NA,NA,3.1,NA
2005-05-23,NA,NA,3.34,NA
2005-06-02,NA,NA,3.54,NA
2005-06-12,NA,NA,3.63,NA
2005-06-22,NA,NA,3.63,NA
2005-07-02,NA,NA,3.54,NA
2005-07-12,NA,NA,3.36,NA
2005-07-22,NA,NA,3.07,NA
2005-08-01,NA,NA,2.7,378.93
2005-08-11,NA,NA,2.36,NA
2005-08-20,NA,NA,2.18,NA
2005-08-30,NA,NA,2.21,NA
2005-09-09,NA,NA,2.43,NA
2005-09-19,NA,NA,2.63,NA
