year,month,proportion_baseline_extent
1978,1,NA
1979,1,1
1980,1,0.9641802906448683
1981,1,0.9672821785389906
1982,1,0.9846070671683751
1983,1,0.9694068703775789
1984,1,0.9389689027291208
1985,1,0.9552917261364129
1986,1,0.9659806020500844
1987,1,0.9711820422992085
1988,1,0.9790108786953761
1989,1,0.9702093195544896
1990,1,0.9590380759845469
1991,1,0.9318675523298887
1992,1,0.9499596094041026
1993,1,0.966398372656613
1994,1,0.9556101072757485
1995,1,0.9463077135574279
1996,1,0.9199994140224429
1997,1,0.935349933240414
1998,1,0.9550094802797625
1999,1,0.9315808418823274
2000,1,0.9225609730575891
2001,1,0.9214099457133649
2002,1,0.9259512717805765
2003,1,0.9336212994470884
2004,1,0.9099791977967244
2005,1,0.8863015189375391
2006,1,0.8735941770573045
2007,1,0.8889991084770025
2008,1,0.9009509578640281
2009,1,0.9026670349954169
2010,1,0.8913367403742722
2011,1,0.8734895382078295
2012,1,0.8907110000544122
2013,1,0.8889739951531285
2014,1,0.8853953465010862
2015,1,0.8824654587157883
2016,1,0.8730228489391714
2017,1,0.8557239543439773
2018,1,0.8484076059886907
2019,1,0.8801885173512141
2020,1,0.8846419467848667
2021,1,0.8742450307010385
1978,2,NA
1979,2,1
1980,2,0.9863901719554523
1981,2,0.9646859847916133
1982,2,0.9875250602771424
1983,2,0.9895431301721322
1984,2,0.9458215207797905
1985,2,0.9561323712542062
1986,2,0.9758626476017204
1987,2,0.992263329417895
1988,2,0.9634067419644943
1989,2,0.9579760127884691
1990,2,0.9630874261439409
1991,2,0.9427587942805161
1992,2,0.9559091394979204
1993,2,0.9697289515751544
1994,2,0.9620783911964461
1995,2,0.9412927128688386
1996,2,0.9369125129469851
1997,2,0.954339512660408
1998,2,0.9734493539526792
1999,2,0.9464394534872425
2000,2,0.9360874995393752
2001,2,0.9403940756180064
2002,2,0.9485060983687637
2003,2,0.9392812668356487
2004,2,0.9220473488868715
2005,2,0.8885689808967826
2006,2,0.8856081146722955
2007,2,0.8972484478083849
2008,2,0.924462698217161
2009,2,0.9156892790588818
2010,2,0.9014634318669575
2011,2,0.8879617935651392
2012,2,0.8997272187119985
2013,2,0.9102488805673559
2014,2,0.8913333392212105
2015,2,0.8902867690568504
2016,2,0.8780508974495239
2017,2,0.8729013397864467
2018,2,0.8634932480768721
2019,2,0.8898562180398668
2020,2,0.905216649008111
2021,2,0.8893981525200227
1978,3,NA
1979,3,1
1980,3,0.9816040784637684
1981,3,0.95652876737127
1982,3,0.9817608836161562
1983,3,0.9842937330207429
1984,3,0.9536323339873255
1985,3,0.9720963319067889
1986,3,0.9735361346637549
1987,3,0.9678128740854627
1988,3,0.9764586241044927
1989,3,0.9437859080406252
1990,3,0.9709217120359119
1991,3,0.9433476925400103
1992,3,0.9473251890883846
1993,3,0.9676429915560857
1994,3,0.9517606405743386
1995,3,0.9338036747676082
1996,3,0.9253986225080658
1997,3,0.946492184848477
1998,3,0.9544827089317621
1999,3,0.942218596745633
2000,3,0.9316422064199804
2001,3,0.9494787616612266
2002,3,0.9392339938765798
2003,3,0.9475561405008709
2004,3,0.9174298118054417
2005,3,0.8987069558444833
2006,3,0.8824515295041047
2007,3,0.8898636880843259
2008,3,0.928831310596216
2009,3,0.9168810554578247
2010,3,0.9262493922412415
2011,3,0.8901341183707414
2012,3,0.9298932923049136
2013,3,0.9198439449462168
2014,3,0.9030456840893105
2015,3,0.8793642815628353
2016,3,0.8811645182140102
2017,3,0.8744412659838549
2018,3,0.8749011948651308
2019,3,0.8917942050194674
2020,3,0.901361910116227
2021,3,0.8961585945323486
1978,4,NA
1979,4,1
1980,4,0.9988519736558166
1981,4,0.9717179825810739
1982,4,1.0012429758914467
1983,4,0.98221422344218
1984,4,0.9720114629998878
1985,4,0.9941562869547954
1986,4,0.9748815288603465
1987,4,0.9847260705561454
1988,4,0.9790593089399314
1989,4,0.9275966543232256
1990,4,0.948420816393471
1991,4,0.9619942857636101
1992,4,0.950157961519538
1993,4,0.9760727140896496
1994,4,0.9638263804369406
1995,4,0.9353782013103038
1996,4,0.9203114345150236
1997,4,0.9427864239410968
1998,4,0.9640788599148907
1999,4,0.9765064608851024
2000,4,0.9424713640797231
2001,4,0.9618065446133396
2002,4,0.9257214007647755
2003,4,0.9394869271736972
2004,4,0.9055165686959975
2005,4,0.9121522472831481
2006,4,0.9002425529343726
2007,4,0.8963150943884818
2008,4,0.9291201629679502
2009,4,0.9384230606554972
2010,4,0.9489818819000269
2011,4,0.9133153792371235
2012,4,0.9468476750308586
2013,4,0.9256760839353998
2014,4,0.9120249285720452
2015,4,0.8994203761728428
2016,4,0.8857023245375525
2017,4,0.8903764317960139
2018,4,0.8866604517872094
2019,4,0.8697227473219912
2020,4,0.8818331304865732
2021,4,0.8958187672096054
1978,5,NA
1979,5,1
1980,5,0.9953621068736078
1981,5,0.99601340851467135
1982,5,1.0083953563335626
1983,5,0.9736192766041385
1984,5,0.9797804818790202
1985,5,1.0156264282930725
1986,5,0.9655546828768409
1987,5,0.9917778429948088
1988,5,0.9786390598939108
1989,5,0.9413476614909141
1990,5,0.9544609923607611
1991,5,0.9723070414373185
1992,5,0.9537183769608888
1993,5,0.9647365546649517
1994,5,0.9832227894310542
1995,5,0.9361470257438453
1996,5,0.9449862441554926
1997,5,0.9509481188861296
1998,5,0.980729557163771
1999,5,0.9923576572338731
2000,5,0.9491812063829851
2001,5,0.9749399505823206
2002,5,0.9360422680855561
2003,5,0.9393223467639894
2004,5,0.9062957490273446
2005,5,0.9317472040956986
2006,5,0.9033322712717409
2007,5,0.922263144098582
2008,5,0.9362867026215643
2009,5,0.9516371914828764
2010,5,0.9284997166887331
2011,5,0.915125655647144
2012,5,0.9390150576330077
2013,5,0.9379651531021537
2014,5,0.916564327487649
2015,5,0.8997774947337936
2016,5,0.8605422597825417
2017,5,0.9114940568264513
2018,5,0.8827415715480063
2019,5,0.8794126059623714
2020,5,0.8907590243290737
2021,5,0.9137754458291941
1978,6,NA
1979,6,1
1980,6,0.9740303272146847
1981,6,0.9919978717744081
1982,6,0.9956956637403565
1983,6,0.9812982176110668
1984,6,0.9698057994147381
1985,6,0.9751848895982974
1986,6,0.955780792764033
1987,6,0.9964618249534452
1988,6,0.9531870178238894
1989,6,0.9772173450385742
1990,6,0.9290156956637404
1991,6,0.9663234902899708
1992,6,0.969414737962224
1993,6,0.9473982442138867
1994,6,0.9590103750997605
1995,6,0.9130433625964353
1996,6,0.96439212556531
1997,6,0.9368209630220803
1998,6,0.9342138866719873
1999,6,0.9400771481777069
2000,6,0.9309843043362597
2001,6,0.9142803937217346
2002,6,0.9244533120510774
2003,6,0.92610002660282
2004,6,0.9135727587124235
2005,6,0.8908246874168663
2006,6,0.8714684756584198
2007,6,0.8954562383612663
2008,6,0.8945198191008248
2009,6,0.9034530460228785
2010,6,0.844780526735834
2011,6,0.8578345304602288
2012,6,0.8519180633147113
2013,6,0.906634743282788
2014,6,0.8804948124501197
2015,6,0.8682282521947327
2016,6,0.8310375099760575
2017,6,0.8584517158818835
2018,6,0.8601356743814844
2019,6,0.8454588986432563
2020,6,0.8453977121574887
2021,6,0.8544772545889865
1978,7,NA
1979,7,1
1980,7,0.9795187295429749
1981,7,0.9960964965450358
1982,7,1.0054127773063402
1983,7,1.0251198125025256
1984,7,0.9676356730108701
1985,7,0.9450418232513033
1986,7,0.9840190730189519
1987,7,1.002066917202085
1988,7,0.9512597812442564
1989,7,0.9823939558656182
1990,7,0.8967499481853128
1991,7,0.922684665589964
1992,7,1.001152045800273
1993,7,0.9190306547421192
1994,7,0.9625565562199134
1995,7,0.8715816970972043
1996,7,0.9857445086207909
1997,7,0.912676805399677
1998,7,0.9130960155483169
1999,7,0.9201881753017962
2000,7,0.9225845557037217
2001,7,0.8796561851094367
2002,7,0.8994216307744048
2003,7,0.8936621838815262
2004,7,0.9146664893887431
2005,7,0.8387675534473388
2006,7,0.8204474442649939
2007,7,0.7703080334273167
2008,7,0.8415987861676294
2009,7,0.8209917917714368
2010,7,0.7830939429608281
2011,7,0.7491222787512856
2012,7,0.7440198029868723
2013,7,0.7886218857417713
2014,7,0.786369413301319
2015,7,0.8124980936105648
2016,7,0.769794970260325
2017,7,0.769970162561249
2018,7,0.801852032895483
2019,7,0.736023525823267
2020,7,0.707379584622183
2021,7,0.7456778729777608
1978,8,NA
1979,8,1
1980,8,0.9929362605292831
1981,8,0.9755313349804339
1982,8,1.0122454732373816
1983,8,1.0180085975326656
1984,8,0.9664218470186378
1985,8,0.9205080586323541
1986,8,0.9923512427870267
1987,8,0.932700234036707
1988,8,0.9814096776333103
1989,8,0.9801901315184206
1990,8,0.8453460408612137
1991,8,0.9221854694289744
1992,8,0.9855978557383924
1993,8,0.9121924122836109
1994,8,0.9500344468288592
1995,8,0.8387388288506099
1996,8,1.0173341363794888
1997,8,0.9059783434284652
1998,8,0.93381528583379525
1999,8,0.8985848451069458
2000,8,0.8914641399953359
2001,8,0.9278379052048946
2002,8,0.8206622670292499
2003,8,0.8625560830746257
2004,8,0.8524787809673783
2005,8,0.7836185537894722
2006,8,0.8078048811798361
2007,8,0.6643798394050328
2008,8,0.7353582256245895
2009,8,0.7630507480952616
2010,8,0.73061242610513355
2011,8,0.6842937437284307
2012,8,0.587395990902614
2013,8,0.7478505499725068
2014,8,0.7558538213514712
2015,8,0.6962685633104901
2016,8,0.6678900461501925
2017,8,0.6815818582887415
2018,8,0.6982663724065925
2019,8,0.6250815705186495
2020,8,0.6305133647277311
2021,8,0.7155606595818883
1978,9,NA
1979,9,1
1980,9,1.0873523877958153
1981,9,1.01238571577146
1982,9,1.0355403859426853
1983,9,1.0487108455378331
1984,9,0.9651214461977744
1985,9,0.9498709427326103
1986,9,1.0509894390499872
1987,9,1.0322737715922736
1988,9,1.0450802235101686
1989,9,0.9939300537974983
1990,9,0.8711791012319533
1991,9,0.9179942704246126
1992,9,1.059928900318625
1993,9,0.9071827696729603
1994,9,1.0122628040882315
1995,9,0.862291641060066
1996,9,1.0753637713086313
1997,9,0.9482636361057797
1998,9,0.9269479138105458
1999,9,0.8675012054799701
2000,9,0.8858245010258398
2001,9,0.9547637731995803
2002,9,0.826410884302287
2003,9,0.8673924759140375
2004,9,0.8487288095530742
2005,9,0.7805506443408624
2006,9,0.8314171717076215
2007,9,0.605188763981204
2008,9,0.6647772934847352
2009,9,0.7462110109958683
2010,9,0.6899694611740902
2011,9,0.6468936435750282
2012,9,0.5056775742906577
2013,9,0.7386424877324685
2014,9,0.7402970680836177
2015,9,0.6546134427562472
2016,9,0.642237181729651
2017,9,0.6838475138748381
2018,9,0.6786474041997976
2019,9,0.6188934166611514
2020,9,0.5673603297815009
2021,9,0.6903797971011753
1978,10,1.1891564916492223
1979,10,1
1980,10,1.0497045732208308
1981,10,1.012383395133615
1982,10,1.07694670886709
1983,10,1.0670019838009437
1984,10,0.9785849521672966
1985,10,0.9769088427986599
1986,10,1.0841336410249083
1987,10,1.0343894424884024
1988,10,1.0442498312390227
1989,10,1.009255407438205
1990,10,0.9699355401054214
1991,10,0.9763923616096606
1992,10,1.0653386731480718
1993,10,1.0043657756194606
1994,10,1.0191305462093947
1995,10,0.8949464355307715
1996,10,1.047214585373465
1997,10,0.952973016450652
1998,10,0.9661558473345216
1999,10,0.9834096838955358
2000,10,0.9578737107848234
2001,10,0.9485996353518352
2002,10,0.9330088636100169
2003,10,0.8971589386161762
2004,10,0.9059610133909446
2005,10,0.8404229844961152
2006,10,0.8620428271456615
2007,10,0.6904152753056769
2008,10,0.840183296661863
2009,10,0.7910804781864481
2010,10,0.7983485508220026
2011,10,0.7389797180303099
2012,10,0.672829563281852
2013,10,0.8521824383950412
2014,10,0.8267607779437413
2015,10,0.7963277980039997
2016,10,0.6952090319907205
2017,10,0.7735685162654701
2018,10,0.7012049153521671
2019,10,0.6555720392156954
2020,10,0.6097437253066794
2021,10,NA
1978,11,1.0641562998793757
1979,11,1
1980,11,1.040189831004106
1981,11,0.9987145589901673
1982,11,1.0625418834452256
1983,11,1.0473298161392905
1984,11,0.9907216746067524
1985,11,1.0074445920095525
1986,11,1.046623128190757
1987,11,1.0256753134404737
1988,11,1.0354349176952224
1989,11,1.0157329450611041
1990,11,1.0120746164999452
1991,11,0.9946571954235863
1992,11,1.0398060263424025
1993,11,1.034329194741267
1994,11,1.0164609554908435
1995,11,0.9833501882470483
1996,11,0.9505287975339027
1997,11,0.976341184067842
1998,11,0.9540835597577766
1999,11,0.986603389665298
2000,11,0.9431634033116859
2001,11,0.9739347897603352
2002,11,0.9450611041389981
2003,11,0.9252738415800568
2004,11,0.9451890390262327
2005,11,0.9335896092503015
2006,11,0.8826349713060325
2007,11,0.8919041584930488
2008,11,0.9451524862013085
2009,11,0.8929611443471056
2010,11,0.878544100983271
2011,11,0.8929672364845931
2012,11,0.8578917549011247
2013,11,0.9082493633716325
2014,11,0.924293007444592
2015,11,0.8997630158517418
2016,11,0.7911706651395708
2017,11,0.86747468716874
2018,11,0.8976581823498592
2019,11,0.8546811984452864
2020,11,0.8210830602025027
2021,11,NA
1978,12,1.0248042305692748
1979,12,1
1980,12,1.019245765931495
1981,12,1.000364294855132
1982,12,1.022909959808842
1983,12,0.9971634365439603
1984,12,0.973993533922537
1985,12,0.9785297234608387
1986,12,0.991464690268141
1987,12,0.9403306272620023
1988,12,1.0216913569337327
1989,12,1.003789650147935
1990,12,0.9826999350465478
1991,12,0.9706687109481075
1992,12,1.0053328590290782
1993,12,0.9987028660146381
1994,12,0.9951713848759725
1995,12,0.9688497562794249
1996,12,0.9643821907567431
1997,12,0.9804988063916261
1998,12,0.956687915755308
1999,12,0.9478809823129234
2000,12,0.947585885943802
2001,12,0.9365995932507751
2002,12,0.9454258772747415
2003,12,0.9439189507340644
2004,12,0.9413114598659262
2005,12,0.9168692565055042
2006,12,0.8964035976601277
2007,12,0.902349063851114
2008,12,0.9266824201901388
2009,12,0.9147890689854683
2010,12,0.8871177373235952
2011,12,0.9113180584142455
2012,12,0.9002809704445668
2013,12,0.9136183587997737
2014,12,0.9262397756364567
2015,12,0.9031593694548489
2016,12,0.8592674127820912
2017,12,0.880507094890737
2018,12,0.8894156188864256
2019,12,0.8925359001664794
2020,12,0.8795153775846734
2021,12,NA
